@relation processed_comments

@attribute Worth {Worthy,NotWorthy}
@attribute character_count numeric
@attribute word_count numeric
@attribute emoticon_count numeric
@attribute punctuation_count numeric
@attribute response_count numeric
@attribute post_comment_similarity numeric
@attribute sentence_count numeric
@attribute avg_sentence_len numeric
@attribute avg_syllables_per_word numeric
@attribute flesch_kinkaid_ease numeric
@attribute gunning_fog_index numeric

@data
NotWorthy,61,11,0,5,0,0,2,5.5,1.636364,62.816136,5.836364
NotWorthy,209,36,0,7,4,0.038749,3,12.666667,1.368421,78.209912,8.224561
Worthy,514,91,0,17,0,0.085775,5,18.4,1.423913,67.695957,10.403478
Worthy,367,67,0,14,0,0.085855,5,13.6,1.455882,69.863353,8.969412
NotWorthy,122,12,0,10,0,0.0274,5,3,2,34.59,11.866667
Worthy,386,63,0,17,0,0.014763,4,16,1.53125,61.05125,12.025
NotWorthy,139,9,0,18,0,0,4,2.75,3.181818,-65.138068,12.009091
Worthy,316,61,2,9,0,0.142374,4,15.25,1.459016,67.923463,10.690164
Worthy,435,72,0,58,0,0.028194,7,10.571429,1.378378,79.494189,6.390734
Worthy,296,56,0,10,1,0.050337,4,14,1.5,65.725,10.6
NotWorthy,16,3,0,1,0,0,1,3,1.666667,62.79,14.533333
Worthy,348,60,0,10,0,0.033558,4,15.25,1.459016,67.923463,12.001639
NotWorthy,15,2,0,0,8,0,1,2,2,35.605,20.8
Worthy,347,63,0,11,2,0.093308,3,21.333333,1.453125,62.247292,12.908333
Worthy,258,46,0,9,0,0.086387,3,15.666667,1.340426,77.533333,8.819858
Worthy,440,85,1,12,4,0.069575,8,10.75,1.348837,81.812122,7.090698
Worthy,379,70,1,13,1,0.058779,4,17.75,1.352113,74.430018,8.790141
NotWorthy,58,12,0,2,0,0.028796,1,12,1.083333,103.005,4.8
NotWorthy,223,39,0,7,0,0.064727,2,19.5,1.487179,61.227115,11.902564
NotWorthy,111,20,0,4,0,0,2,10,1.4,78.245,10
NotWorthy,50,11,0,1,1,0,1,11,1.090909,103.379091,4.4
NotWorthy,241,45,1,15,2,0.095021,7,6.428571,1.377778,83.75,8.793651
Worthy,223,47,0,8,2,0.046176,4,11.75,1.170213,95.90875,5.551064
Worthy,552,95,0,21,0,0.105147,5,19,1.484211,61.985789,13.915789
Worthy,176,31,0,6,0,0.058688,2,15.5,1.516129,62.837984,11.36129
Worthy,683,132,1,30,0,0.099751,9,14.555556,1.351145,77.754241,8.875657
NotWorthy,88,17,0,5,0,0.020362,3,6,1.388889,83.245,6.844444
NotWorthy,351,67,0,10,2,0.056473,4,16.75,1.373134,73.666586,10.28209
NotWorthy,252,45,1,6,1,0.05883,4,11.25,1.466667,71.33625,8.055556
NotWorthy,159,32,0,8,0,0.017107,5,6.4,1.15625,102.52025,2.56
NotWorthy,301,54,0,8,1,0.066649,6,9,1.462963,73.933333,8.785185
NotWorthy,187,30,0,17,1,0.020856,5,6.8,1.382353,82.985941,5.072941
NotWorthy,50,10,0,1,2,0,1,10,1.1,103.625,4
NotWorthy,251,49,0,11,2,0.040656,4,12.5,1.34,80.7835,7.4
NotWorthy,57,11,0,1,1,0,1,11,1.545455,64.924545,11.672727
NotWorthy,194,31,0,7,1,0,3,10.333333,1.645161,57.166022,10.584946
Worthy,154,27,0,3,0,0.03621,2,14,1.285714,83.853571,9.885714
NotWorthy,72,10,0,2,2,0.023131,1,10,2,27.485,20
Worthy,61,12,0,1,0,0.023131,1,12,1.166667,95.955,4.8
NotWorthy,47,5,0,8,5,0,2,3,2.166667,20.49,14.533333
NotWorthy,70,12,0,2,2,0,1,12,1.666667,53.655,14.8
NotWorthy,62,10,0,2,0,0,1,10,1.7,52.865,12
NotWorthy,353,70,0,15,3,0.054958,5,14.2,1.28169,83.991014,7.370141
Worthy,296,56,0,7,2,0.078286,5,11.2,1.321429,83.674143,5.908571
Worthy,188,31,1,6,0,0.027369,4,7.75,1.612903,62.517137,10.841935
Worthy,547,94,0,21,1,0.02707,8,11.75,1.734043,48.20875,11.934043
Worthy,4976,934,28,194,2,0.109506,48,18.958333,1.378022,71.011632,10.792125
NotWorthy,204,44,0,6,6,0.032712,2,22,1.25,78.755,9.709091
NotWorthy,231,37,0,6,0,0.01404,2,19,1.605263,51.744737,12.863158
Worthy,620,107,0,33,0,0.128544,7,15.285714,1.485981,65.605981,11.347931
Worthy,2178,416,3,70,2,0.0751,21,19.761905,1.33012,74.248474,9.832473
NotWorthy,100,19,0,5,0,0,2,10,1.2,95.165,6
NotWorthy,66,11,0,5,1,0.037113,3,3.666667,1.454545,80.058788,8.739394
Worthy,80,15,0,1,5,0.074227,1,15,1.4,73.17,8.666667
Worthy,35,5,0,1,2,0,1,5,2.2,15.64,26
NotWorthy,34,8,0,1,2,0.064282,1,8,1.125,103.54,3.2
Worthy,140,23,0,10,0,0.026243,3,8,1.583333,64.765,8.2
Worthy,90,16,1,7,2,0.028748,2,7.5,1.466667,75.1425,8.333333
Worthy,207,34,0,4,0,0.021427,2,17,1.647059,50.238824,15.035294
Worthy,540,93,0,19,0,0.066302,6,15.5,1.548387,60.108952,11.791398
NotWorthy,37,8,0,2,10,0.038576,1,8,1.25,92.965,3.2
NotWorthy,57,10,0,2,6,0,2,5.5,1.272727,93.579773,2.2
NotWorthy,9,2,0,1,3,0,1,2,1,120.205,0.8
Worthy,317,58,1,19,1,0.068193,7,8.285714,1.396552,80.276724,4.693596
Worthy,41,10,0,3,2,0,1,10,1.1,103.625,4
NotWorthy,33,8,1,1,5,0.054554,1,8,1.125,103.54,3.2
Worthy,84,18,0,1,10,0.025717,1,18,1.277778,80.465,9.422222
NotWorthy,66,14,0,3,0,0.109109,1,14,1.214286,89.896429,5.6
Worthy,302,59,0,11,1,0.07043,4,14.75,1.305085,81.453581,6.577966
Worthy,247,51,0,10,8,0.082244,3,17,1.372549,73.462353,10.721569
Worthy,472,80,0,20,5,0,5,16,1.5375,60.5225,10.4
NotWorthy,267,49,1,12,0,0.060523,6,8.166667,1.346939,84.594813,6.531973
Worthy,92,14,0,7,6,0,3,4.666667,1.928571,38.94119,10.438095
NotWorthy,41,7,0,3,0,0,1,7,1.714286,54.701429,8.514286
NotWorthy,134,24,0,2,4,0.082479,1,24,1.583333,48.525,17.933333
Worthy,566,105,1,16,4,0.098198,6,17.5,1.428571,68.215357,10.047619
Worthy,88,13,0,7,2,0.058321,1,13,1.923077,30.947692,14.430769
Worthy,178,35,0,7,6,0.0177,3,11.666667,1.4,76.553333,8.095238
Worthy,579,113,0,32,10,0.030657,10,11.4,1.359649,80.237684,6.665263
Worthy,212,34,1,12,1,0.018712,6,6.166667,1.567568,67.959617,8.953153
Worthy,237,44,0,9,1,0.051755,4,11,1.295455,86.074545,6.218182
Worthy,94,14,0,8,2,0,4,4,1.5625,70.5875,11.6
Worthy,103,19,0,7,1,0,2,9.5,1.263158,90.329342,3.8
Worthy,299,57,0,8,1,0.04298,2,28.5,1.54386,47.296974,16.312281
NotWorthy,454,84,0,18,4,0.081417,5,16.8,1.440476,67.918714,11.958095
NotWorthy,214,44,0,4,3,0.034503,2,22,1.272727,76.832273,11.527273
NotWorthy,66,16,0,1,0,0.058321,1,16,1.1875,90.1325,8.9
Worthy,1180,227,1,43,4,0.110342,12,19.166667,1.334783,74.458225,10.623188
Worthy,149,32,0,3,2,0.041239,3,10.666667,1.25,90.258333,6.766667
Worthy,726,114,0,19,0,0.074848,9,12.888889,1.689655,50.80795,12.741762
NotWorthy,150,27,0,4,0,0.021398,2,13.5,1.444444,70.9325,11.325926
Worthy,379,70,1,22,0,0.08761,7,10,1.371429,80.662143,5.714286
NotWorthy,73,14,1,3,0,0.029161,2,7,1.214286,97.001429,5.657143
Worthy,189,33,0,12,0,0.038576,3,11,1.454545,72.615455,6.824242
NotWorthy,281,48,2,16,0,0.089087,5,9.4,1.382979,80.294,6.313191
Worthy,247,49,0,9,2,0.046291,5,9.8,1.346939,82.93698,7.185306
NotWorthy,77,13,0,1,4,0.051434,1,13,1.384615,76.501538,5.2
Worthy,301,54,0,14,0,0.08596,6,9.166667,1.345455,83.705379,5.121212
Worthy,1469,262,1,81,0,0.088487,21,12.904762,1.468635,69.490172,9.737551
NotWorthy,282,56,0,7,10,0.105915,3,18.666667,1.321429,76.095476,9.609524
NotWorthy,86,15,0,2,2,0.025717,1,15,1.4,73.17,8.666667
NotWorthy,44,9,1,2,0,0,1,9,1.222222,94.3,3.6
Worthy,83,17,0,2,0,0.027277,1,17,1.294118,80.097647,9.152941
Worthy,242,46,0,3,0,0.051755,2,23,1.369565,67.624783,12.678261
NotWorthy,152,32,0,14,0,0.042796,3,11,1.151515,98.251818,4.4
NotWorthy,16,4,0,1,0,0.054554,1,4,1,118.175,1.6
NotWorthy,31,5,1,2,0,0.069007,1,5,1.4,83.32,2
NotWorthy,239,46,0,3,0,0.077152,3,15.666667,1.319149,79.333333,8.819858
Worthy,1177,204,0,55,10,0.059949,11,18.727273,1.504854,60.516139,12.151103
Worthy,147,26,0,4,0,0.061859,3,9.333333,1.464286,73.483095,6.590476
Worthy,376,74,0,4,0,0.026082,2,37,1.405405,50.382703,18.583784
NotWorthy,41,5,0,4,0,0.034503,2,2.5,2,35.0975,17
Worthy,594,106,0,15,0,0.061314,5,21.2,1.415094,65.600019,12.253585
Worthy,222,41,1,7,5,0.015749,4,10,1.475,71.9,7
Worthy,329,64,0,13,0,0.026463,4,16,1.328125,78.235625,9.525
Worthy,1101,202,1,32,0,0.107916,25,8.08,1.485149,72.990236,7.786455
NotWorthy,186,37,1,4,0,0.109109,3,12.333333,1.27027,86.851802,4.933333
Worthy,506,99,0,15,1,0.170631,7,14.714286,1.281553,83.480583,8.215811
Worthy,342,57,0,11,3,0.075094,5,12,1.466667,70.575,8.133333
Worthy,113,21,0,3,0,0,2,10.5,1.428571,75.320357,9.914286
Worthy,264,52,2,12,1,0.092582,7,7.571429,1.301887,89.010377,3.783288
Worthy,2018,373,0,46,0,0.129799,22,17,1.430481,68.561283,10.650267
Worthy,393,76,0,20,2,0.145545,4,19,1.421053,67.328947,11.810526
Worthy,243,38,0,10,10,0.049346,2,19,1.815789,33.934211,14.968421
Worthy,466,85,0,18,3,0.092009,4,21.25,1.4,66.82625,11.794118
Worthy,75,15,0,3,0,0.038576,2,7.5,1.333333,86.4225,3
Worthy,694,131,0,27,2,0.019139,11,12.181818,1.350746,80.19732,8.156309
Worthy,334,60,1,16,1,0.071634,3,20,1.416667,66.685,12
NotWorthy,216,38,0,4,0,0.057864,3,12.666667,1.605263,58.17307,12.435088
NotWorthy,64,13,0,4,0,0.062994,2,7,1,115.13,2.8
Worthy,105,20,0,3,4,0.074893,2,10,1.45,74.015,8
Worthy,1227,239,1,30,4,0.137443,8,30.25,1.396694,57.970919,14.744628
Worthy,271,43,2,10,5,0.091725,4,10.5,1.761905,47.120357,13.72381
NotWorthy,319,57,0,7,0,0.071327,2,28.5,1.508772,50.265395,16.312281
Worthy,886,168,3,31,3,0.150795,9,19,1.315789,76.234211,9.939181
Worthy,909,151,2,44,0,0.113564,17,9.117647,1.554839,66.041233,9.324478
Worthy,859,149,0,35,2,0.105564,11,13.545455,1.422819,72.715894,9.176571
Worthy,155,29,0,5,0,0.053495,4,7.25,1.37931,82.786595,8.417241
NotWorthy,173,30,0,7,2,0.079243,2,15.5,1.419355,71.025081,8.780645
Worthy,234,47,0,9,1,0.100465,3,15.666667,1.212766,88.333333,6.266667
Worthy,433,85,0,11,0,0.114234,7,12.285714,1.337209,81.237093,6.774751
Worthy,1831,362,3,28,0,0.243778,18,20.222222,1.35989,71.262741,10.616361
Worthy,1560,314,5,63,0,0.145595,20,15.6,1.330128,78.472154,9.957949
Worthy,219,37,1,15,0,0.041437,7,5.285714,1.351351,87.145676,5.357529
Worthy,427,78,1,12,0,0.086823,7,11.428571,1.4875,69.3925,8.571429
Worthy,395,66,1,19,0,0.055059,5,13.2,1.590909,58.846091,11.340606
Worthy,406,73,0,10,0,0.121861,4,18.5,1.459459,64.58723,11.724324
Worthy,591,113,2,22,2,0.07429,11,10.272727,1.40708,77.369244,7.648914
Worthy,182,32,1,6,0,0.078621,4,8.25,1.484848,72.843068,8.148485
NotWorthy,118,19,0,10,1,0.033524,1,19,1.526316,58.423684,13.915789
NotWorthy,149,24,0,4,0,0.033524,2,12,1.75,46.605,11.466667
NotWorthy,19,1,0,2,0,0,1,1,6,-301.78,40.4
NotWorthy,35,5,0,2,0,0,1,5,2,32.56,10
NotWorthy,328,56,0,12,0,0.028531,6,9.833333,1.338983,83.576201,8.00113
Worthy,206,38,0,4,0,0.04741,3,12.666667,1.447368,71.530965,8.224561
Worthy,240,49,0,2,0,0.094821,3,16.666667,1.28,81.630333,9.066667
NotWorthy,62,11,0,1,0,0.065518,1,11,1.363636,80.306364,4.4
Worthy,596,96,1,24,3,0.073258,10,10.1,1.524752,67.589441,10.376634
Worthy,304,52,0,15,0,0.053916,6,8.833333,1.415094,78.152186,7.306918
Worthy,36,5,0,2,0,0,2,2.5,1.6,68.9375,9
Worthy,216,35,1,9,1,0.020752,2,17.5,1.714286,44.043929,13.857143
Worthy,87,15,0,4,3,0,2,7.5,1.533333,69.5025,8.333333
Worthy,95,19,0,4,1,0.030715,2,9.5,1.263158,90.329342,5.905263
NotWorthy,64,13,0,4,0,0,3,4.666667,1.071429,111.455476,1.866667
NotWorthy,134,25,0,7,1,0.077876,3,8.666667,1.384615,80.899872,6.54359
NotWorthy,46,9,0,3,1,0,2,4.5,1.444444,80.0675,6.244444
NotWorthy,81,9,0,8,1,0.039653,2,5,2.6,-18.2,18
NotWorthy,69,14,0,2,0,0.036711,1,14,1.285714,83.853571,8.457143
NotWorthy,20,4,0,1,0,0,1,4,1.25,97.025,1.6
Worthy,161,29,0,7,0,0.125392,3,9.666667,1.517241,68.664713,8.004598
NotWorthy,23,5,0,1,1,0,1,5,1.2,100.24,2
NotWorthy,49,11,0,2,1,0.043437,1,11,1.090909,103.379091,4.4
NotWorthy,78,14,0,3,0,0.032376,2,7,1.285714,90.958571,8.514286
NotWorthy,74,16,0,2,0,0.073422,2,8,1.4375,77.1025,8.2
NotWorthy,55,11,0,4,0,0,1,11,1.181818,95.688182,4.4
NotWorthy,71,15,0,6,0,0,1,15,1.333333,78.81,8.666667
NotWorthy,84,14,1,4,0,0.073422,1,14,1.714286,47.596429,14.171429
Worthy,104,20,0,4,0,0.06143,2,10.5,1.380952,79.348929,11.819048
NotWorthy,288,59,0,7,1,0.097129,4,14.75,1.322034,80.019682,9.289831
NotWorthy,137,25,0,7,0,0.053877,3,8.666667,1.346154,84.153718,9.620513
Worthy,287,50,0,4,6,0.075558,3,17,1.568627,56.874118,13.07451
NotWorthy,233,41,0,16,1,0.057544,3,14,1.380952,75.796429,7.504762
Worthy,422,75,0,14,3,0.145215,6,12.833333,1.480519,68.557219,9.289177
Worthy,249,48,0,7,0,0.127378,2,24,1.395833,64.3875,13.766667
Worthy,209,30,0,5,0,0.142067,3,10,2.033333,24.665,14.666667
NotWorthy,158,28,0,3,0,0.067711,1,28,1.5,51.515,16.914286
Worthy,183,37,0,14,1,0.039475,5,7.6,1.289474,90.031526,4.092632
Worthy,205,35,0,6,1,0.065248,2,17.5,1.514286,60.963929,15
NotWorthy,119,21,0,4,2,0.049073,1,21,1.428571,64.662857,12.209524
NotWorthy,55,1,0,10,0,0,3,1,5,-217.18,13.733333
NotWorthy,260,51,0,7,4,0.079799,4,12.75,1.235294,89.387868,7.452941
Worthy,236,40,0,9,3,0.046137,3,13.333333,1.6,57.941667,11.333333
NotWorthy,46,8,1,4,1,0.072787,2,3.5,1.571429,70.339643,7.114286
NotWorthy,289,54,0,6,0,0.030223,5,10.8,1.425926,75.239667,9.505185
Worthy,765,131,2,31,0,0.039187,14,9.5,1.556391,65.521823,10.416541
Worthy,184,36,0,4,1,0.02257,2,18.5,1.27027,80.592635,10.643243
NotWorthy,103,18,0,5,2,0.023492,2,9,1.388889,80.2,8.044444
NotWorthy,130,26,0,2,1,0.07361,2,13,1.269231,86.263077,6.738462
NotWorthy,158,31,0,2,0,0.023492,2,15.5,1.258065,84.670242,6.2
Worthy,354,62,0,5,0,0.104004,4,15.5,1.564516,58.744435,10.716129
NotWorthy,79,13,0,3,0,0.027126,2,6.5,1.615385,63.575962,8.753846
NotWorthy,720,125,1,24,2,0.082022,9,13.888889,1.456,69.560178,10.675556
NotWorthy,69,14,0,1,1,0,1,14,1.357143,77.810714,8.457143
NotWorthy,160,30,1,4,0,0,1,29,1.206897,75.296552,11.6
Worthy,241,46,0,11,0,0.048827,6,7.666667,1.434783,77.670725,6.544928
NotWorthy,162,25,0,7,0,0,3,8.333333,1.72,52.864667,14.533333
NotWorthy,216,44,0,4,0,0,2,22,1.340909,71.064091,11.527273
NotWorthy,46,10,1,2,0,0.032651,2,5,1.6,66.4,10
NotWorthy,155,26,0,7,0,0.030542,4,6.5,1.5,73.3375,7.215385
Worthy,119,20,0,4,2,0.027318,3,6.666667,1.75,52.018333,12.666667
NotWorthy,144,27,0,7,0,0.047919,3,9,1.666667,56.7,11.007407
Worthy,302,57,1,8,0,0.035267,5,11.4,1.385965,78.011368,8.068772
NotWorthy,109,19,0,4,0,0,2,10,1.6,61.325,12
NotWorthy,227,38,0,5,1,0.039637,3,12.666667,1.605263,58.17307,14.540351
NotWorthy,27,4,0,1,2,0,1,4,2.5,-8.725,11.6
Worthy,159,31,0,3,1,0,2,15.5,1.322581,79.212177,8.780645
NotWorthy,68,11,0,2,2,0.099834,1,11,1.545455,64.924545,8.036364
Worthy,161,26,0,4,0,0.073258,1,26,1.692308,37.275769,18.092308
NotWorthy,57,11,0,7,0,0.044023,1,11,1.181818,95.688182,4.4
NotWorthy,29,4,0,3,0,0,1,4,1.25,97.025,1.6
NotWorthy,67,11,0,3,1,0.035944,2,6,1.75,52.695,12.4
Worthy,395,59,0,14,1,0.176613,11,5.363636,1.644068,62.302773,7.569183
NotWorthy,82,15,0,4,0,0,1,15,1.4,73.17,6
Worthy,156,24,0,4,3,0.101305,1,24,1.833333,27.375,17.933333
Worthy,1060,194,0,26,1,0.091207,11,17.818182,1.418367,68.755668,10.59666
